Part,Description,URL,URL Note,Price,"Quantity (reflecting part q, not product q)",Sourcing,Subtotals,
,,,,,,,,
,,,,,,,,
neodymium magnet,5mm cube,https://www.amazon.com/dp/B0GTTXC3FT,pack of 60,9.99,24,,9.99,
Key Large,3d printed,,,,14,will print,,
Key Small,~,,,,10,will print,,
LCD Spacer,~,,,,4,will print,,
Case Right,~,,,,1,will print,,
Case Left,~,,,,1,will print,,
Case,~,,,,1,will print,,
UV Glue,,https://www.amazon.com/dp/B018IBEHQU,,13.95,1,already have,,
,,,,,,,,
,,,,,,,,
plywood,12mm thick,https://makerstock.com/products/baltic-birch-plywood-uv-prefinished-b-bb-finished-both-sides-copy?variant=43727278768225&country=US,3x3in,4.95,2,already have,9.9,
,,,,,,,,
m3 heatset inserts,,https://www.adafruit.com/product/4255,pack of 50,5.95,8,,5.95,
m3 6mm screw,,https://www.mcmaster.com/91292A111/,pack of 100,12.71,14,,12.71,
m3 4mm screw,,https://www.mcmaster.com/91292A109/,pack of 50,3.86,14,already have,3.86,
,,,,,,,,
,,,,,,,,
CN0295D,lcd screen,https://www.digikey.com/en/products/detail/sunfounder/CN0295D/18668612,,9.13,1,already have,9.13,
SK6812MINI-E,,,,,4,already have,2.95,
hotswap switch socket,,https://www.adafruit.com/product/4958,comes in pack of 20,4.95,4,,4.95,
key switches,,https://www.aliexpress.us/item/3256808099380919.html?spm=a2g0o.productlist.main.1.2d044710cevahd&algo_pvid=2a8de3e4-7303-44d1-bdc9-b53b64669e15&algo_exp_id=2a8de3e4-7303-44d1-bdc9-b53b64669e15-0&pdp_ext_f=%7B%22order%22%3A%2216%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2111.55%210.99%21%21%2177.85%216.63%21%402101eede17810759189401785e2ae0%2112000044480383082%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad1749a59%3Bm03_new_user%3A-29895%3BpisId%3A5000000208023469&curPageLogUid=pP8MKuu5kHOB&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008285695671%7C_p_origin_prod%3A,comes in a pack of 8 (priced welcome deal),0.99,4,already have,0.99,
4x 2.54 male header,,https://www.mouser.com/ProductDetail/Samtec/MTSW-104-07-F-S-155?qs=PB6%2FjmICvI1FPDxv9fFH%252BQ%3D%3D,,0.31,1,already have,0.31,
5x female molex conn,,https://www.mouser.com/ProductDetail/Molex/171971-0005?qs=lc2O%252BfHJPVaHzX1glCYU2g%3D%3D,,1.37,1,,1.37,
1x 2.54 female header,,https://www.mouser.com/ProductDetail/Samtec/SSA-101-S-G?qs=rU5fayqh%252BE15kAKORo1KGg%3D%3D,,0.41,1,,0.41,
10x2 2.54 male header,,https://www.mouser.com/ProductDetail/Amphenol-FCI/77313-824-10LF?qs=xJiur%252Bgubk0jGbvndcgeKw%3D%3D,,0.56,1,,0.56,
6mm push button,,https://www.mouser.com/ProductDetail/CK/PTS645SH43-2-LFS?qs=rqnA19JZHeR58R%2F%2FUQmolQ%3D%3D,,0.27,2,already have,0.54,
,,,,,,,,
PCB board,JLCPCB PCBA,,grand total,254.56,1,,254.56,
,,,,,,,,
,,,,,,,,
SK6812MINI-E,,https://www.mouser.com/ProductDetail/Adafruit/4960?qs=pBJMDPsKWf1Q%252BqeEoLnQjA%3D%3D,comes in pack of 10,2.95,24,,8.85,
2.54 1x female header,needs to be bent to horizontal,https://www.mouser.com/ProductDetail/Samtec/SSA-101-S-G?qs=rU5fayqh%252BE15kAKORo1KGg%3D%3D,24*2 needed,0.41,48,,19.68,
,,,,,,,,
PCB sensor,JLCPCB PCBA,,grand total (can't order exactly 24),80.54,25,,80.54,
,,,,,,,,
,,,,,,,427.25,TOTAL
,,,,,,,399.57,TOTAL without the things i have already
