pos_x,pos_y,rotation,side,designator,mpn,pack,footprint,value,mount_type
78.35,-92.35,90.0,top,C1,10uF 1206 X7R,,C_1206_3216Metric,10μF,smt
88.965,-119.91,180.0,top,C10,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
88.965,-124.4,180.0,top,C11,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
96.23,-134.1,-90.0,top,C12,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
105.36,-101.865,90.0,top,C13,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
107.26,-134.12,-90.0,top,C14,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
88.965,-122.9,180.0,top,C15,2.2uF 0603 X7R,,C_0603_1608Metric,2.2μF,smt
112.69,-134.12,-90.0,top,C16,2.2uF 0603 X7R,,C_0603_1608Metric,2.2μF,smt
97.37,-101.865,90.0,top,C17,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
89.84,-115.355,180.0,top,C2,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
108.72,-134.12,-90.0,top,C21,1uF 0603 X7R,,C_0603_1608Metric,1μF,smt
109.38,-101.865,90.0,top,C22,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
113.89,-101.865,90.0,top,C23,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
121.365,-109.12,0.0,top,C24,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
95.04,-101.36,135.0,top,C25,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
67.6177,-102.869811,180.0,top,C26,10uF 1206 X7R,,C_0603_1608Metric,10μF,smt
67.6177,-101.369811,180.0,top,C27,0.1uF 0603 X7R,,C_0603_1608Metric,0.1μF,smt
67.6177,-104.359811,180.0,top,C28,1uF 0603 X7R,,C_0603_1608Metric,1μF,smt
71.38,-105.07,-90.0,top,C29,0.1uF 0603 X7R,,C_0603_1608Metric,0.1μF,smt
90.34,-107.14,135.0,top,C3,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
69.867889,-105.052511,-90.0,top,C30,10uF 1206 X7R,,C_0603_1608Metric,10μF,smt
76.73,-103.2,0.0,top,C31,0.1uF 0603 X7R,,C_0603_1608Metric,0.1μF,smt
76.735,-101.7,0.0,top,C32,10uF 1206 X7R,,C_0603_1608Metric,10μF,smt
67.6427,-98.349811,180.0,top,C33,47uF 0603 X7R,,C_0603_1608Metric,47μF,smt
66.7827,-99.839811,180.0,top,C34,47uF 0603 X7R,,C_0603_1608Metric,47μF,smt
88.965,-126.47,0.0,top,C35,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
88.965,-127.95,0.0,top,C36,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
88.965,-118.4,0.0,top,C37,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
88.965,-121.41,0.0,top,C38,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
83.83,-105.75,180.0,top,C39,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
101.85,-134.109312,-90.0,top,C4,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
70.08,-119.54,180.0,top,C40,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
70.15,-124.35,180.0,top,C41,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
80.65,-92.35,90.0,top,C42,10uF 1206 X7R,,C_1206_3216Metric,10μF,smt
98.84,-101.865,90.0,top,C43,1uF 0603 X7R,,C_0603_1608Metric,1μF,smt
114.18,-134.12,-90.0,top,C5,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
121.365,-127.17,0.0,top,C6,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
121.365,-120.64,0.0,top,C7,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
121.365,-115.62,0.0,top,C8,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
100.3,-101.865,90.0,top,C9,100nF 0603 X7R,,C_0603_1608Metric,100nF,smt
100.79,-120.39,0.0,top,CN0295D LCD,,,CN0295D,CN0295D,tht
83.63,-91.4825,90.0,top,D1,SS14,,D_SMA,SS14,smt
139.68,-143.99,-90.0,bottom,D2,SK6812MINI-E,,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,smt
139.67,-153.225,-90.0,bottom,D3,SK6812MINI-E,,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,smt
127.83,-153.2,180.0,bottom,D4,SK6812MINI-E,,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,smt
108.726667,-153.2,180.0,bottom,D5,SK6812MINI-E,,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,smt
89.623333,-153.2,180.0,bottom,D6,SK6812MINI-E,,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,smt
70.52,-153.2,180.0,bottom,D7,SK6812MINI-E,,LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,SK6812MINI-E,smt
72.71,-91.49,0.0,top,H1,DNP,,MountingHole_3.2mm_M3_DIN965_Pad,MountingHole_Pad,tht
131.91,-91.49,0.0,top,H2,DNP,,MountingHole_3.2mm_M3_DIN965_Pad,MountingHole_Pad,tht
131.89,-135.1,0.0,top,H3,DNP,,MountingHole_3.2mm_M3_DIN965_Pad,MountingHole_Pad,tht
72.69,-135.1,0.0,top,H4,DNP,,MountingHole_3.2mm_M3_DIN965_Pad,MountingHole_Pad,tht
122.84,-84.9,180.0,top,J1,FTSH-107-01-F-DV-K-P-TR,,CONN-SMD_14P-P1.27_FTSH-107-01-F-DV-K-P-TR,Conn_ST_STDC14,tht
145.64,-97.667727,0.0,top,J10,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-102.956363,0.0,top,J11,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-134.688182,0.0,top,J12,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-134.688182,0.0,top,J13,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-129.399545,0.0,top,J14,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-129.399545,0.0,top,J15,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-124.110909,0.0,top,J16,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-118.822272,0.0,top,J17,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-118.822272,0.0,top,J18,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-124.110909,0.0,top,J19,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
78.29,-82.77,180.0,top,J2,USB4105-GF-A,,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0_16P,smt
145.64,-155.842727,0.0,top,J20,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-155.842727,0.0,top,J21,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-150.554091,0.0,top,J22,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-150.554091,0.0,top,J23,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-145.265454,0.0,top,J24,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
153.53,-139.976818,0.0,top,J25,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-139.976818,0.0,top,J26,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
145.64,-145.265454,0.0,top,J27,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
155.22,-90.35,0.0,top,J3,DNP,,PinSocket_1x01_P2.54mm_Vertical,Conn_01x01_Socket,tht
145.64,-113.533636,0.0,top,J4,BM04B-SRSS-TB,,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,Conn_01x04,smt
139.84,-90.34,0.0,top,J44,1719710005,,Molex_SL_171971-0005_1x05_P2.54mm_Vertical,Conn_01x05,tht
62.17,-116.14,180.0,top,J45,DNP,,PinHeader_1x04_P2.54mm_Vertical,Conn_01x04_Socket,tht
155.16,-82.76,-90.0,top,J46,DNP,,PinHeader_2x10_P2.54mm_Vertical,Conn_02x10_Counter_Clockwise,tht
92.325,-87.175,180.0,top,J48,DM3D-SF,,microSD_HC_Hirose_DM3D-SF,Micro_SD_Card_Det_Hirose_DM3AT,smt
