Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C11, C12, C13, C14, C2, C22, C23, C24, C25, C3, C35, C36, C37, C38, C39, C4, C40, C41, C5, C6, C7, C8, C9",0603,24,100nF,
"C15, C16",0603,2,2.2μF,
"C17, C19, C26, C30, C32",0603,5,10μF,
"C18, C20, C27, C29, C31",0603,5,0.1μF,
"C21, C28",0603,2,1μF,
"C33, C34",0603,2,47μF,
CN0295D LCD,CN0295D,1,CN0295D,
"D2, D3, D4, D5, D6, D7",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,6,SK6812MINI-E,
J1,CONN-SMD_14P-P1.27_FTSH-107-01-F-DV-K-P-TR,1,Conn_ST_STDC14,
"J10, J11, J12, J13, J14, J15, J16, J17, J18, J19, J20, J21, J22, J23, J24, J25, J26, J27, J4, J5, J6, J7, J8, J9",JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,24,Conn_01x04,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J3,PinSocket_1x01_P2.54mm_Vertical,1,Conn_01x01_Socket,
J44,Molex_SL_171971-0005_1x05_P2.54mm_Vertical,1,Conn_01x05,
J45,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J46,PinHeader_2x10_P2.54mm_Vertical,1,Conn_02x10_Counter_Clockwise,
J48,microSD_HC_Hirose_DM3D-SF,1,Micro_SD_Card_Det_Hirose_DM3AT,
J49,Jack_3.5mm_CUI_SJ-3524-SMT_Horizontal,1,AudioJack3_SwitchT,
"R1, R2, R21, R22, R23, R24, R59, R60, R77, R78",0603,10,10kΩ,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R38, R39, R40, R43, R44, R45, R46, R47, R48, R49, R5, R50, R51, R52, R53, R54, R55, R56, R57, R58, R6, R7, R8, R9",0603,48,2.2kΩ,
"R3, R4",0603,2,5.1kΩ,
"R41, R42",0603,2,1kΩ,
"R95, R96, R97, R98, R99",0603,5,47kΩ,
"SW1, SW2",SW_PUSH_6mm,2,SW_Push,
"SW3, SW4, SW5, SW6",MX-Hotswap-1U,4,SW_Push,
U1,VQFN24_RGE_CORNERPADS_TEX-L,1,TAC5212IRGER,
U10,TSOP-II-54_22.2x10.16mm_P0.8mm,1,W9812G6KH-75,
U2,SOT-666,1,USBLC6-2P6,
U3,SOT-223-3_TabPin2,1,AMS1117-3.3,
"U4, U5, U6",Texas_RGE0024C_VQFN-24-1EP_4x4mm_P0.5mm_EP2.1x2.1mm,3,TCA9548ARGER,
U9,LQFP-176_24x24mm_P0.5mm,1,STM32H743IITx,
