Designator,Mid X,Mid Y,Rotation,Layer
C1,78.35,-92.35,90.0,top
C10,88.965,-119.91,180.0,top
C11,88.965,-124.4,180.0,top
C12,96.23,-134.1,270.0,top
C13,105.36,-101.865,90.0,top
C14,107.26,-134.12,270.0,top
C15,88.965,-122.9,180.0,top
C16,112.69,-134.12,270.0,top
C17,97.37,-101.865,90.0,top
C2,89.84,-115.355,180.0,top
C21,108.72,-134.12,270.0,top
C22,109.38,-101.865,90.0,top
C23,113.89,-101.865,90.0,top
C24,121.365,-109.12,0.0,top
C25,95.04,-101.36,135.0,top
C26,67.6177,-102.869811,180.0,top
C27,67.6177,-101.369811,180.0,top
C28,67.6177,-104.359811,180.0,top
C29,71.38,-105.07,270.0,top
C3,90.34,-107.14,135.0,top
C30,69.867889,-105.052511,270.0,top
C31,76.73,-103.2,0.0,top
C32,76.735,-101.7,0.0,top
C33,67.6427,-98.349811,180.0,top
C34,66.7827,-99.839811,180.0,top
C35,88.965,-126.47,0.0,top
C36,88.965,-127.95,0.0,top
C37,88.965,-118.4,0.0,top
C38,88.965,-121.41,0.0,top
C39,83.83,-105.75,180.0,top
C4,101.85,-134.109312,270.0,top
C40,70.08,-119.54,180.0,top
C41,70.15,-124.35,180.0,top
C42,80.65,-92.35,90.0,top
C43,98.84,-101.865,90.0,top
C5,114.18,-134.12,270.0,top
C6,121.365,-127.17,0.0,top
C7,121.365,-120.64,0.0,top
C8,121.365,-115.62,0.0,top
C9,100.3,-101.865,90.0,top
CN0295D LCD,100.79,-120.39,0.0,top
D1,83.63,-91.4825,90.0,top
D2,139.68,-143.99,270.0,bottom
D3,139.67,-153.225,270.0,bottom
D4,127.83,-153.2,0.0,bottom
D5,108.726667,-153.2,0.0,bottom
D6,89.623333,-153.2,0.0,bottom
D7,70.52,-153.2,0.0,bottom
H1,72.71,-91.49,0.0,top
H2,131.91,-91.49,0.0,top
H3,131.89,-135.1,0.0,top
H4,72.69,-135.1,0.0,top
J1,122.84,-84.9,180.0,top
J10,145.64,-97.667727,0.0,top
J11,145.64,-102.956363,0.0,top
J12,145.64,-134.688182,0.0,top
J13,153.53,-134.688182,0.0,top
J14,153.53,-129.399545,0.0,top
J15,145.64,-129.399545,0.0,top
J16,153.53,-124.110909,0.0,top
J17,153.53,-118.822272,0.0,top
J18,145.64,-118.822272,0.0,top
J19,145.64,-124.110909,0.0,top
J2,78.29,-82.77,180.0,top
J20,145.64,-155.842727,0.0,top
J21,153.53,-155.842727,0.0,top
J22,153.53,-150.554091,0.0,top
J23,145.64,-150.554091,0.0,top
J24,153.53,-145.265454,0.0,top
J25,153.53,-139.976818,0.0,top
J26,145.64,-139.976818,0.0,top
J27,145.64,-145.265454,0.0,top
J3,155.22,-90.35,0.0,top
J4,145.64,-113.533636,0.0,top
J44,144.92,-90.34,0.0,top
J45,62.17,-112.33,180.0,top
J46,143.73,-84.03,270.0,top
J48,92.325,-87.175,180.0,top
J49,66.37,-85.97,0.0,top
J5,153.53,-113.533636,0.0,top
J6,153.53,-108.245,0.0,top
J7,145.64,-108.245,0.0,top
J8,153.53,-102.956363,0.0,top
J9,153.53,-97.667727,0.0,top
Q1,65.51,-121.58,270.0,top
Q2,62.0,-121.58,270.0,top
R1,115.74,-90.68,270.0,top
R10,131.76,-106.22,270.0,top
R100,61.99,-124.35,0.0,top
R101,61.92,-118.82,0.0,top
R11,133.985,-102.49,0.0,top
R12,133.985,-103.97,0.0,top
R13,133.985,-99.49,0.0,top
R14,133.985,-100.99,0.0,top
R15,132.03,-97.26,90.0,top
R16,133.51,-97.26,90.0,top
R17,129.09,-97.26,90.0,top
R18,130.55,-97.26,90.0,top
R19,126.11,-97.26,90.0,top
R2,115.74,-82.23,270.0,top
R20,127.58,-97.26,90.0,top
R21,65.63,-124.32,0.0,top
R22,65.5,-118.8,180.0,top
R23,121.365,-113.38,0.0,top
R24,121.365,-111.87,0.0,top
R25,131.4225,-118.28,270.0,top
R26,129.9525,-118.28,270.0,top
R27,134.3825,-118.28,270.0,top
R28,132.8925,-118.28,270.0,top
R29,137.3425,-118.28,270.0,top
R3,80.31,-88.5725,0.0,top
R30,135.8725,-118.28,270.0,top
R31,138.0675,-114.595,0.0,top
R32,138.0675,-116.055,0.0,top
R33,138.0675,-111.645,0.0,top
R34,138.0675,-113.115,0.0,top
R35,136.2125,-109.395,90.0,top
R36,137.6825,-109.395,90.0,top
R37,133.2725,-109.395,90.0,top
R38,134.7425,-109.395,90.0,top
R39,130.3425,-109.395,90.0,top
R4,75.95,-88.26,180.0,top
R40,131.8025,-109.395,90.0,top
R41,88.965,-102.77,180.0,top
R42,88.965,-104.243669,180.0,top
R43,130.8675,-130.5175,270.0,top
R44,129.365,-130.5125,270.0,top
R45,133.7975,-130.5175,270.0,top
R46,132.3275,-130.5175,270.0,top
R47,136.7375,-130.5175,270.0,top
R48,135.2775,-130.5175,270.0,top
R49,137.465,-126.75,0.0,top
R5,127.28,-106.22,270.0,top
R50,137.465,-128.26,0.0,top
R51,137.465,-123.8,0.0,top
R52,137.465,-125.29,0.0,top
R53,135.5675,-121.54,90.0,top
R54,137.0975,-121.54,90.0,top
R55,132.6175,-121.54,90.0,top
R56,134.0875,-121.54,90.0,top
R57,129.69,-121.53,90.0,top
R58,131.1575,-121.54,90.0,top
R59,64.35,-140.28,0.0,top
R6,125.76,-106.22,270.0,top
R60,83.456667,-140.28,0.0,top
R7,130.26,-106.22,270.0,top
R77,102.563333,-140.28,0.0,top
R78,121.67,-140.28,0.0,top
R8,128.78,-106.22,270.0,top
R9,133.24,-106.22,270.0,top
R95,104.0,-84.87,180.0,top
R96,104.0,-87.82,180.0,top
R97,104.0,-86.36,180.0,top
R98,104.0,-82.97,180.0,top
R99,103.99,-81.49,180.0,top
SW1,110.24,-84.5,0.0,top
SW2,110.24,-92.94,0.0,top
SW3,70.483333,-148.45,0.0,bottom
SW4,89.596666,-148.45,0.0,bottom
SW5,108.71,-148.45,0.0,bottom
SW6,127.823333,-148.45,0.0,bottom
U1,71.99,-100.37,90.0,top
U10,78.54,-117.91,180.0,top
U11,81.97,-99.6,90.0,top
U2,75.08,-95.48,225.0,top
U4,129.18,-101.7475,90.0,top
U5,133.2525,-113.8625,90.0,top
U6,132.66,-126.0425,90.0,top
U9,105.61,-117.91,180.0,top
